title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(Km),motor(W),maximum_speed(km/hr)
"EOX E2 Low Speed Electric Scooter Non RTO with 60-80Km Range, Lit",EOX,100000,56511,43489,43.49%,3.82,55,7.65,4,13.75,68,529,25
SVITCH XE 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,SVITCH,96949,88089,8860,9.14%,3.82,55,5.2,5,13.75,68,529,25
Motovolt Kivo 24 Aqua Blue upto 105 Km Range in PAS Mode 24 inche,MOTOVOLT,48999,38899,10100,20.61%,4.3,8,16,4,3,67,250,26
SVITCH Lite Xe 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cyc,SVITCH,85399,55533,29866,34.97%,3.82,55,5.69,5,13.75,68,80,25
SVITCH XE+ 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,SVITCH,118999,109332,9667,8.12%,3.82,55,7.65,5,13.75,68,529,25
Motovolt Hum 24 Nova Blue 24 inches Single Speed Lithium Iron Pho,MOTOVOLT,46999,38299,8700,18.51%,3.6,7,7.65,4,4,67,529,26
GODAUP ST-GREEN 10 inches Single Speed Lead-acid (SLA) Electric C,GODAUP,34990,29029,5961,17.04%,3.6,8,5.2,1,4,68,250,25
Hoopoe Bikes XO RIDE CONQUEROR 20 inches 7 Gear Lithium-ion (Li-i,HOOPOE,69999,54844,15155,21.65%,3.82,55,5.2,4,36,68,250,25
HERCULES Hardstyle 27.5 X 18 trooper grey 27.5 inches Single Spee,HERCULES,21999,21849,150,0.68%,3.82,55,7.65,9,13.75,68,504,25
Svitch_XE 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,SVITCH_XE,96949,94738,2211,2.28%,3.82,55,8.4,5,13.75,68,250,26
"SS Bikes Cosmos Premium, 7.5Ah Battery, 35KM + Range, Li-Ion Bat,",SS,36000,32802,3198,8.88%,3.82,55,7.5,2,36,68,250,26
"SS Bikes Cosmos Premium, 250W Motor, 36V/10Ah Bat, 45Km+ Range, E",SS,42000,35025,6975,16.61%,3.82,55,10,2,36,68,250,26
"SS Bikes Cosmos Premium, 250W Motor, 36V/12.5Ah Bat, 55Km+ Range,",SS,42000,36693,5307,12.64%,3.82,55,12.5,2,36,68,250,26
